Year,NTACode,NTAName,BusApps,TotalBikeLanesFt,TotalPop,FemalePct,MedianAge,BachDegreeOrHigherPct,UnempPCT,MeanHouseIncome,y18
2018,BK93,Starrett City,4,10509.24189,12959,59.5,47,19.4,4,37060,1
2010,BK93,Starrett City,4,0,13225,64.3,42.3,18.7,4.2,39170,0
2010,SI14,Grasmere-Arrochar-Ft. Wadsworth,17,9219.225188,14728,54.4,38,30.6,4.8,94522,0
2010,BK23,West Brighton,6,11647.02107,15959,56,56.1,38,1.8,61557,0
2018,SI14,Grasmere-Arrochar-Ft. Wadsworth,19,11553.49983,16292,54.1,38.7,39.2,4.2,96756,1
2018,BK23,West Brighton,5,11647.02135,16774,54.6,57.6,51.9,2.4,61129,1
2010,SI35,New Brighton-Silver Lake,14,3961.064185,17084,52.1,39.3,35.4,3.5,111013,0
2018,SI35,New Brighton-Silver Lake,17,7650.772323,17105,50,42,41.5,2.6,105222,1
2010,QN41,Fresh Meadows-Utopia,6,11400.71251,17542,53.4,39.8,46.7,6,95570,0
2010,QN68,Queensbridge-Ravenswood-Long Island City,32,28165.77955,18112,53.3,33.2,16.9,8.6,44724,0
2018,QN41,Fresh Meadows-Utopia,20,11400.71283,18699,51.6,43.6,49.8,4.5,94530,1
2010,BX75,Crotona Park East,14,13292.2387,18969,52.5,28.6,8.6,6.7,34469,0
2010,SI28,Port Richmond,22,0,19060,50.1,34,19.2,4.3,83204,0
2018,QN68,Queensbridge-Ravenswood-Long Island City,38,28960.35038,19228,51.8,34.2,25.9,7.5,53740,1
2010,QN07,Hollis,14,0,19286,53.3,38.5,19.7,6.4,84266,0
2010,SI32,Rossville-Woodrow,10,6884.410527,19461,50.6,37.9,28.5,2.3,114670,0
2018,SI28,Port Richmond,30,0,19545,48.9,36.2,24.6,2.1,84130,1
2010,BK46,Ocean Parkway South,15,6359.11979,19593,50.8,33,33.8,4.4,77240,0
2010,QN48,Auburndale,9,5182.675898,19603,49.7,42.1,38.7,4,96829,0
2018,QN27,East Elmhurst,12,11978.70398,19790,51.6,36.8,15.7,4.1,67905,1
2018,QN62,Queensboro Hill,19,15475.94671,20269,50.6,39.8,24.5,6.4,76677,1
2010,QN03,Springfield Gardens South-Brookville,8,745.3135779,20426,55,33.7,24.8,5.2,96902,0
2018,SI25,Oakwood-Oakwood Beach,10,3102.558457,20509,53.7,44.8,27.9,2.8,96053,1
2018,QN48,Auburndale,16,5182.676114,20588,50.8,44.8,33.9,2.9,92197,1
2018,BK46,Ocean Parkway South,28,6359.120004,20684,51.7,31.8,41.3,2.9,96193,1
2010,QN62,Queensboro Hill,12,15475.94719,20741,51,37.9,32.6,3.1,79857,0
2018,SI45,New Dorp-Midland Beach,34,38322.01731,20933,51.5,41.6,29.6,2.9,99118,1
2018,QN33,Cambria Heights,7,4442.387136,21207,54.3,44.8,32.6,4.1,112055,1
2018,BK64,Prospect Heights,28,23807.64369,21237,51.6,36.3,69.9,4.1,141251,1
2010,QN56,Ozone Park,23,0,21247,51.5,37.2,19.1,4.4,78609,0
2018,QN07,Hollis,17,0,21448,52.3,38.6,22.3,5.1,88956,1
2010,BK64,Prospect Heights,16,14177.28574,21455,55.6,34.2,62.6,5.3,115022,0
2010,QN33,Cambria Heights,5,4442.386993,21616,53.8,41.8,29.7,4,108781,0
2018,SI08,Grymes Hill-Clifton-Fox Hills,9,14498.47956,21707,51.7,35.2,32.2,4.2,77855,1
2010,MN50,Stuyvesant Town-Cooper Village,1,6542.748819,21901,55.7,36.9,81.2,1.7,145918,0
2010,SI45,New Dorp-Midland Beach,27,27021.01946,21907,51.5,39.6,27.4,4,102410,0
2018,MN50,Stuyvesant Town-Cooper Village,7,6542.748594,22032,55.8,41.8,73,5.1,136042,1
2010,QN27,East Elmhurst,8,0,22069,49.3,34.9,13.7,5.2,72581,0
2018,BX75,Crotona Park East,18,23759.23534,22103,54.6,32.1,15.8,6,43896,1
2010,QN47,Ft. Totten-Bay Terrace-Clearview,4,17595.49555,22161,53.2,47.8,46.6,4.5,103359,0
2010,SI08,Grymes Hill-Clifton-Fox Hills,7,747.1864098,22192,55.2,29.9,29,4.8,72089,0
2018,SI32,Rossville-Woodrow,8,6884.410881,22197,49.4,40.8,32.8,2,112964,1
2010,SI25,Oakwood-Oakwood Beach,12,1638.683614,22203,51.6,41,26.5,3.8,104899,0
2018,QN03,Springfield Gardens South-Brookville,16,4509.392744,22380,56.1,34.4,25.2,4.9,92616,1
2018,QN47,Ft. Totten-Bay Terrace-Clearview,7,17776.06911,22700,55,47.3,51.1,2.6,101093,1
2010,QN60,Kew Gardens,23,8006.86392,22705,50.1,38.4,44.4,5.5,81141,0
2010,QN44,Glen Oaks-Floral Park-New Hyde Park,10,0,22719,54.4,46,44.4,3.7,99553,0
2018,BK40,Windsor Terrace,16,17881.72094,22832,53.6,38.1,68.3,2.4,143550,1
2010,QN23,College Point,17,0,22914,49.2,38.6,25.9,6,89266,0
2010,BK40,Windsor Terrace,13,7347.353806,22916,53.1,37.7,54.2,3.6,102486,0
2010,MN06,Manhattanville,16,6383.728148,23075,52,31.9,20.1,4.7,46810,0
2018,QN60,Kew Gardens,31,8006.863864,23166,50.8,39.6,47.1,2.5,89377,1
2010,SI11,Charleston-Richmond Valley-Tottenville,33,7117.919113,23212,47.9,35.6,27.7,2.6,117803,0
2010,BK09,Brooklyn Heights-Cobble Hill,14,13657.91398,23255,49.5,36.9,80.2,3.4,205699,0
2010,QN45,Douglas Manor-Douglaston-Little Neck,17,1747.363667,23631,49.7,45.7,52.3,3.5,112046,0
2018,MN06,Manhattanville,20,9427.090988,23673,53.6,33.5,29.6,3.7,55639,1
2010,SI07,Westerleigh,18,0,23966,50.9,40.9,36.9,2.7,109827,0
2010,QN06,Jamaica Estates-Holliswood,15,0,23989,53.5,44.2,40.8,4.4,100452,0
2018,SI07,Westerleigh,36,8439.648869,24111,50,36.5,37.4,4.4,97647,1
2018,BK09,Brooklyn Heights-Cobble Hill,15,15867.17453,24168,52.3,37.4,80.4,2.1,215829,1
2018,QN50,Elmhurst-Maspeth,26,11784.07551,24234,48.8,40.6,29.6,2.3,77369,1
